x_m,y_m,z_m,volume_m3,Uair_x_m_s,Uair_y_m_s,Uair_z_m_s,p_m2_s2,alpha_air,particle_theta
0.007893270871725127,0.01005114105992205,0.049999999999999989,3.1294879999999996e-05,-1.265591413798437,0.87713686757467013,0,-115.51914783775059,0.099999999999999978,1.8634298528148734
0.023742831997192331,0.0098009102234700805,0.050000000000000003,3.0544880000000018e-05,-2.2133452903468109,1.5089967857079003,0,-113.39102704879342,0.11504688215300996,0.88495311784699004
0.039593129211819837,0.0095506677657369275,0.050000000000000003,2.9794879999999993e-05,-0.027686879118247132,0.43508015024062652,6.5008228952118328e-22,-106.51968886763837,0.24434173419302718,0.75565826580697282
0.055444219537726901,0.0093004127864647207,0.050000000000000003,2.9044880000000016e-05,1.8616347562585858,1.1951081888502504,-4.5375425057041662e-21,-114.59829911888345,0.14370650383409445,0.85629349616590555
0.071296166042874198,0.009050144289944561,0.050000000000000017,2.8294879999999984e-05,0.70719311264074192,0.10686783771955832,0,-115.2639006116008,0.17883745514472837,0.82116254485527163
0.0087275309680404714,0.029785058350060328,0.050000000000000003,3.4634640000000012e-05,0.65492629752474008,1.4271972720407218,0,-118.55805207884043,0.099999999999999978,1.3265849611472769
0.026245515947662425,0.029034494292005657,0.050000000000000003,3.3884640000000021e-05,0.99723941517629056,1.2273761806894337,0,-120.20532908071867,0.28146372322914193,0.71853627677085807
0.043764096903864555,0.028283904699130575,0.050000000000000003,3.3134639999999989e-05,0.49756651983019989,3.6656096904800139,2.9821144338513402e-21,-131.35505571920208,0.31655671995752976,0.68344328004247024
0.061283315243539332,0.027533287797342605,0.05000000000000001,3.2384640000000018e-05,-0.76517188824515614,0.75357760680543617,4.9173758837153325e-21,-124.50588207610106,0.38561140489023971,0.61438859510976029
0.078803216300308759,0.026782641644307204,0.049999999999999996,3.1634639999999966e-05,-0.8391149597274119,0.23936800829541047,7.3947333040326332e-21,-116.98473038724286,0.37104536442534575,0.62895463557465425
0.0095619106562456115,0.04952180451391814,0.05000000000000001,3.7974399999999987e-05,0.87425651759759826,-0.74597947568101186,0,-119.36237845683812,0.099999999999999978,1.0530740837595751
0.02874858318934892,0.048271024023669062,0.050000000000000003,3.7224399999999982e-05,0.69297873074758409,-0.61931778107946611,2.7008424086106886e-20,-122.26354698677329,0.39691982936522607,0.60308017063477393
0.047935748089692129,0.04702021143596604,0.050000000000000003,3.6474399999999991e-05,-1.1976115726113339,-3.8451282046450563,3.9721822876466339e-19,-134.76547481466881,0.30377084704566748,0.69622915295433252
0.067123436367629213,0.045769364729242,0.050000000000000003,3.5724400000000006e-05,-2.721302894497581,-1.2738928899479647,7.9850523089915819e-20,-123.73147628986773,0.20671071510625993,0.79328928489374007
