x_m,y_m,z_m,volume_m3,Ux_m_s,Uy_m_s,Uz_m_s,Urelx_m_s,Urely_m_s,Urelz_m_s,p_m2_s2,k_m2_s2,omega_s_1,nut_m2_s
0.039057399999999999,0.033202200000000001,0.0025000000000000001,4.7454100000000001e-08,-0.87388100000000002,1.0824,-10.6798,2.60304,-3.0076800000000001,-10.6798,2.3205,1.1030899999999999,3670.5700000000002,0.00022613000000000001
0.041406199999999997,0.030215700000000002,0.0025000000000000001,4.7457199999999997e-08,-0.91475600000000001,1.5706899999999999,-10.482200000000001,2.2494200000000002,-2.7653599999999998,-10.482200000000001,2.9771399999999999,1.0891900000000001,3075.6199999999999,0.00035413600000000001
0.043527400000000001,0.027063400000000001,0.0025000000000000001,4.7460399999999998e-08,-0.90929400000000005,2.1834899999999999,-10.1401,1.9247799999999999,-2.3746800000000001,-10.1401,2.8665799999999999,1.00143,2417.1799999999998,0.00041429500000000002
0.045409100000000001,0.023762599999999998,0.0025000000000000001,4.7463599999999999e-08,-0.58418099999999995,2.6099100000000002,-9.8279200000000007,1.9042300000000001,-2.1453199999999999,-9.8279200000000007,2.33155,0.89212999999999998,1809.6500000000001,0.00049298600000000005
0.047041100000000002,0.020331399999999999,0.0025000000000000001,4.74668e-08,-0.089600299999999994,2.7435999999999998,-9.7412399999999995,2.0394999999999999,-2.1825299999999999,-9.7412399999999995,1.8173699999999999,0.82216,1360.5699999999999,0.00060427799999999998
0.048414400000000003,0.0167888,0.0025000000000000001,4.7470000000000001e-08,0.44437399999999999,2.6739000000000002,-9.7555700000000005,2.2024900000000001,-2.3960400000000002,-9.7555700000000005,1.4597800000000001,0.80025199999999996,1064.01,0.00075210800000000003
0.0495214,0.0131541,0.0025000000000000001,4.7473300000000001e-08,0.91537400000000002,2.5212599999999998,-9.7723899999999997,2.2928700000000002,-2.6646100000000001,-9.7723899999999997,1.1893400000000001,0.80953299999999995,877.21600000000001,0.00092284300000000001
0.050356100000000001,0.0094474499999999996,0.0025000000000000001,4.7476500000000002e-08,1.3092600000000001,2.33765,-9.76248,2.2986,-2.9356300000000002,-9.76248,0.96370900000000004,0.83831999999999995,769.81899999999996,0.00108898
0.050913800000000002,0.0056891099999999998,0.0025000000000000001,4.7479599999999997e-08,1.6351800000000001,2.1189,-9.7636199999999995,2.2309399999999999,-3.21279,-9.7636199999999995,0.70455500000000004,0.87379200000000001,717.40999999999997,0.00121798
0.051191599999999997,0.00189978,0.0025000000000000001,4.7482699999999999e-08,1.8651599999999999,1.86822,-9.7755899999999993,2.0640999999999998,-3.49255,-9.7755899999999993,0.34799200000000002,0.89898299999999998,697.13300000000004,0.00128954
0.040957300000000002,0.034821299999999999,0.0025000000000000001,4.9771399999999998e-08,-0.59366699999999994,0.68630800000000003,-11.021800000000001,3.05281,-3.6027300000000002,-11.021800000000001,1.6308499999999999,0.76331199999999999,913.96100000000001,0.00083516999999999999
0.0434212,0.0316894,0.0025000000000000001,4.9774599999999999e-08,-0.32646799999999998,0.93859099999999995,-10.963200000000001,2.9920300000000002,-3.6084700000000001,-10.963200000000001,1.8954299999999999,0.784578,1198.4200000000001,0.00065467900000000002
0.045646300000000001,0.028383499999999999,0.0025000000000000001,4.9777899999999999e-08,-0.143675,1.2760199999999999,-10.7498,2.82864,-3.50406,-10.7498,2.0128599999999999,0.81776099999999996,1392.0599999999999,0.00058744600000000004
0.0476204,0.024921800000000001,0.0025000000000000001,4.9781299999999997e-08,-0.055175700000000001,1.67198,-10.348000000000001,2.55463,-3.31481,-10.348000000000001,1.9859899999999999,0.82883399999999996,1426.8800000000001,0.00058087099999999995
0.049332500000000001,0.021323399999999999,0.0025000000000000001,4.9784700000000002e-08,0.081292799999999998,2.0142500000000001,-9.9433100000000003,2.31427,-3.15184,-9.9433100000000003,1.76325,0.81053600000000003,1329.49,0.00060965699999999999
0.050773199999999998,0.017607999999999999,0.0025000000000000001,4.9788100000000001e-08,0.332708,2.19929,-9.6674000000000007,2.1766100000000002,-3.1176699999999999,-9.6674000000000007,1.51369,0.78885799999999995,1170.54,0.00067392600000000004
