x_m,y_m,z_m
1.0,0.0,0.0
0.9949697565,0.0008322723055,0.0
0.9899419748,0.001638654045,0.0
0.9849164564,0.002421325187,0.0
0.9798930258,0.003182328834,0.0
0.974871529,0.003923576836,0.0
0.9698518321,0.004646855266,0.0
0.9648338199,0.005353829763,0.0
0.9598173944,0.006046050734,0.0
0.9548024734,0.006724958425,0.0
0.9497889894,0.007391887856,0.0
0.9447768882,0.008048073629,0.0
0.9397661273,0.008694654605,0.0
0.9347566754,0.009332678448,0.0
0.9297485106,0.009963106054,0.0
0.9247416194,0.01058681584,0.0
0.9197359957,0.01120460793,0.0
0.9147316398,0.01181720818,0.0
0.9097285569,0.01242527215,0.0
0.9047267566,0.01302938888,0.0
0.8997262516,0.01363008462,0.0
0.8947270569,0.01422782636,0.0
0.8897291888,0.01482302536,0.0
0.8847326641,0.01541604045,0.0
0.879737499,0.01600718129,0.0
0.8747437087,0.01659671153,0.0
0.8697513062,0.0171848518,0.0
0.8647603019,0.01777178262,0.0
0.8597707026,0.01835764726,0.0
0.8547825109,0.01894255443,0.0
0.8497957246,0.01952658087,0.0
0.844810336,0.02010977388,0.0
0.8398263312,0.02069215372,0.0
0.8348436898,0.02127371595,0.0
0.8298623842,0.0218544336,0.0
0.8248823791,0.02243425935,0.0
0.819903631,0.0230131275,0.0
0.8149260878,0.02359095599,0.0
0.8099496884,0.02416764816,0.0
0.8049743622,0.0247430946,0.0
0.800000029,0.02531717478,0.0
0.7950265984,0.02588975863,0.0
0.7900539695,0.0264607081,0.0
0.7850820309,0.02702987856,0.0
0.7801106603,0.02759712014,0.0
0.7751397242,0.02816227903,0.0
0.7701690778,0.02872519863,0.0
0.765198565,0.02928572072,0.0
0.760228018,0.02984368647,0.0
0.7552572573,0.03039893741,0.0
0.7502860918,0.03095131637,0.0
0.7453143185,0.03150066826,0.0
0.7403417226,0.03204684088,0.0
0.7353680777,0.03258968559,0.0
0.7303931455,0.03312905796,0.0
0.7254166759,0.03366481833,0.0
0.7204384076,0.03419683234,0.0
0.7154580674,0.03472497137,0.0
0.7104753711,0.0352491129,0.0
0.7054900233,0.03576914093,0.0
0.7005017176,0.03628494616,0.0
0.6955101368,0.03679642628,0.0
0.6905149533,0.03730348614,0.0
0.6855158295,0.03780603784,0.0
0.6805124177,0.03830400086,0.0
0.6755043605,0.03879730203,0.0
0.6704912917,0.03928587555,0.0
0.6654728359,0.03976966292,0.0
0.6604486094,0.04024861283,0.0
0.6554182204,0.04072268101,0.0
0.6503812696,0.04119183007,0.0
0.6453373508,0.04165602922,0.0
0.6402860507,0.04211525409,0.0
0.6352269505,0.04256948637,0.0
0.6301596253,0.0430187135,0.0
0.6250836458,0.04346292831,0.0
0.6199985779,0.04390212865,0.0
0.6149039838,0.04433631692,0.0
0.6097994228,0.0447654997,0.0
0.6046844514,0.04518968718,0.0
0.5995586246,0.04560889275,0.0
0.5944214961,0.04602313243,0.0
0.5892726193,0.04643242435,0.0
0.584111548,0.04683678819,0.0
0.5789378371,0.04723624457,0.0
0.5737510435,0.04763081452,0.0
0.5685507267,0.04802051881,0.0
0.56333645,0.04840537735,0.0
0.5581077808,0.04878540856,0.0
0.5528642922,0.04916062873,0.0
0.5476055632,0.04953105135,0.0
0.5423311799,0.04989668646,0.0
0.5370407366,0.05025753998,0.0
0.5317338365,0.05061361305,0.0
0.5264100927,0.05096490135,0.0
0.5210691294,0.05131139442,0.0
0.5157105827,0.051653075,0.0
0.5103341017,0.05198991836,0.0
0.5049393494,0.05232189163,0.0
0.4995260041,0.05264895312,0.0
0.4940937604,0.0529710517,0.0
0.4886423299,0.05328812614,0.0
0.4831714428,0.05360010446,0.0
0.477680849,0.05390690333,0.0
0.4721703189,0.05420842743,0.0
0.466639645,0.05450456888,0.0
0.4610886427,0.05479520666,0.0
0.4555171521,0.055080206,0.0
0.4499250384,0.05535941792,0.0
0.4443121938,0.05563267862,0.0
0.4386785388,0.05589980904,0.0
0.4330240228,0.05616061436,0.0
0.4273486261,0.05641488354,0.0
0.421652361,0.05666238892,0.0
0.4159352729,0.0569028858,0.0
0.4101974421,0.05713611211,0.0
0.4044389845,0.05736178803,0.0
0.3986600537,0.05757961573,0.0
0.3928608419,0.05778927905,0.0
0.3870415816,0.05799044337,0.0
0.3812025466,0.05818275529,0.0
0.3753440541,0.05836584259,0.0
0.3694664655,0.05853931405,0.0
0.3635701883,0.05870275941,0.0
0.3576556772,0.05885574935,0.0
0.351723436,0.05899783547,0.0
0.345774019,0.05912855042,0.0
0.3398080321,0.05924740798,0.0
0.3338261351,0.0593539032,0.0
0.3278290426,0.05944751271,0.0
0.3218175257,0.05952769487,0.0
0.3157924137,0.0595938902,0.0
0.309754596,0.05964552173,0.0
0.3037050227,0.05968199541,0.0
0.2976447075,0.05970270064,0.0
0.2915747283,0.05970701086,0.0
0.2854962292,0.0596942841,0.0
0.2794104225,0.05966386376,0.0
0.2733185897,0.05961507929,0.0
0.2672220836,0.05954724706,0.0
0.2611223299,0.0594596712,0.0
0.2550208289,0.05935164463,0.0
0.2489191571,0.05922245005,0.0
0.2428189691,0.05907136104,0.0
0.2367219991,0.05889764328,0.0
0.2306300628,0.05870055577,0.0
0.2245450592,0.05847935218,0.0
0.2184689721,0.05823328228,0.0
0.2124038721,0.05796159344,0.0
0.2063519184,0.05766353217,0.0
0.2003153602,0.05733834583,0.0
0.1942965392,0.05698528436,0.0
0.1882978905,0.05660360214,0.0
0.1823219454,0.05619255987,0.0
0.1763713322,0.05575142665,0.0
0.1704487791,0.05527948204,0.0
0.164557115,0.05477601829,0.0
0.1586992721,0.05424034263,0.0
0.1528782874,0.05367177968,0.0
0.1470973046,0.05306967391,0.0
0.1413595763,0.05243339227,0.0
0.1356684652,0.05176232688,0.0
0.1300274466,0.05105589781,0.0
0.1244401101,0.05031355598,0.0
0.1189101613,0.04953478622,0.0
0.1134414241,0.04871911031,0.0
0.1080378422,0.04786609028,0.0
0.1027034813,0.04697533168,0.0
0.09744253084,0.04604648708,0.0
0.09225930615,0.04507925961,0.0
0.08715825017,0.04407340663,0.0
0.0821439355,0.04302874357,0.0
0.0772210663,0.04194514776,0.0
0.07239448029,0.04082256255,0.0
0.06766915067,0.03966100142,0.0
0.0630501881,0.03846055227,0.0
0.05854284267,0.0372213818,0.0
0.05415250584,0.03594374008,0.0
0.04988471245,0.03462796517,0.0
0.04574514269,0.03327448795,0.0
0.04173962408,0.03188383696,0.0
0.03787413346,0.03045664354,0.0
0.03415479896,0.02899364696,0.0
0.03058790205,0.02749569973,0.0
0.02717987946,0.02596377311,0.0
0.02393732524,0.02439896266,0.0
0.02086699277,0.02280249395,0.0
0.01797579669,0.02117572854,0.0
0.015270815,0.01952016986,0.0
0.012759291,0.01783746951,0.0
0.01044863537,0.01612943347,0.0
0.008346428116,0.0143980286,0.0
0.006460420626,0.01264538925,0.0
0.004798537686,0.01087382404,0.0
0.003368879489,0.009085822695,0.0
0.002179723663,0.00728406321,0.0
0.001239527291,0.005471419001,0.0
0.00055692893,0.003650966314,0.0
0.0001407506391,0.001825991758,0.0
0.0,0.0,0.0
